color	director_name	duration	actor_1_name	movie_title	title_year
Color	Tom Shadyac	96	Jimmy Bennett	Evan Almighty 	2007
Color	Doug Liman	113	Tom Cruise	Edge of Tomorrow 	2014
Color	Kevin Reynolds	176	Jeanne Tripplehorn	Waterworld 	1995
Color	Stephen Sommers	118	Joseph Gordon-Levitt	G.I. Joe: The Rise of Cobra 	2009
Color	Pete Docter	95	Amy Poehler	Inside Out 	2015
Color	Jon Favreau	106	Scarlett Johansson	The Jungle Book 	2016
Color	Jon Favreau	124	Robert Downey Jr.	Iron Man 2 	2010
Color	Rupert Sanders	132	Chris Hemsworth	Snow White and the Huntsman 	2012
Color	Robert Stromberg	97	Angelina Jolie Pitt	Maleficent 	2014
Color	Matt Reeves	130	Gary Oldman	Dawn of the Planet of the Apes 	2014
Color	Roland Joffé	109	Tamsin Egerton	The Lovers 	2015
Color	Carl Rinsch	128	Keanu Reeves	47 Ronin 	2013
Color	Anthony Russo	136	Scarlett Johansson	Captain America: The Winter Soldier 	2014
Color	Mike Mitchell	93	Jon Hamm	Shrek Forever After 	2010
Color	Brad Bird	130	Judy Greer	Tomorrowland 	2015
Color	Don Hall	102	Damon Wayans Jr.	Big Hero 6 	2014
Color	Rich Moore	101	Jack McBrayer	Wreck-It Ralph 	2012
Color	Robert Zemeckis	100	Tom Hanks	The Polar Express 	2004
Color	Roland Emmerich	120	Vivica A. Fox	Independence Day: Resurgence 	2016
Color	Dean DeBlois	98	Gerard Butler	How to Train Your Dragon 	2010
Color	Jonathan Mostow	109	Nick Stahl	Terminator 3: Rise of the Machines 	2003
Color	James Gunn	121	Bradley Cooper	Guardians of the Galaxy 	2014
Color	Christopher Nolan	169	Matthew McConaughey	Interstellar 	2014
Color	Christopher Nolan	148	Leonardo DiCaprio	Inception 	2010
Color	Hideaki Anno	120	Mark Chinnery	Godzilla Resurgence 	2016
Color	Peter Jackson	182	Aidan Turner	The Hobbit: An Unexpected Journey 	2012
Color	Rob Cohen	106	Paul Walker	The Fast and the Furious 	2001
Color	David Fincher	166	Brad Pitt	The Curious Case of Benjamin Button 	2008
Color	Matthew Vaughn	132	Jennifer Lawrence	X-Men: First Class 	2011
Color	Francis Lawrence	137	Jennifer Lawrence	The Hunger Games: Mockingjay - Part 2 	2015
Color	Jon Turteltaub	109	Nicolas Cage	The Sorcerer's Apprentice 	2010
Color	Wolfgang Petersen	98	Jimmy Bennett	Poseidon 	2006
Color	James Bobin	113	Johnny Depp	Alice Through the Looking Glass 	2016
Color	Chris Miller	93	Justin Timberlake	Shrek the Third 	2007
Color	Duncan Jones	123	Dominic Cooper	Warcraft 	2016
Color	Alan Taylor	126	J.K. Simmons	Terminator Genisys 	2015
Color	Michael Apted	113	Bruce Spence	The Chronicles of Narnia: The Voyage of the Dawn Treader 	2010
 Black and White	Michael Bay	184	Jennifer Garner	Pearl Harbor 	2001
Color	Michael Bay	144	Zack Ward	Transformers 	2007
Color	Oliver Stone	206	Anthony Hopkins	Alexander 	2004
Color	David Yates	138	Robert Pattinson	Harry Potter and the Order of the Phoenix 	2007
Color	Mike Newell	157	Robert Pattinson	Harry Potter and the Goblet of Fire 	2005
Color	Peter Berg	102	Will Smith	Hancock 	2008
Color	Francis Lawrence	104	Will Smith	I Am Legend 	2007
Color	Tim Burton	115	Johnny Depp	Charlie and the Chocolate Factory 	2005
Color	Brad Bird	111	Janeane Garofalo	Ratatouille 	2007
Color	Christopher Nolan	128	Christian Bale	Batman Begins 	2005
Color	Eric Darnell	89	Bernie Mac	Madagascar: Escape 2 Africa 	2008
Color	Shawn Levy	105	Robin Williams	Night at the Museum: Battle of the Smithsonian 	2009
Color	Gavin Hood	119	Hugh Jackman	X-Men Origins: Wolverine 	2009
Color	Lana Wachowski	129	Essie Davis	The Matrix Revolutions 	2003
Color	Chris Buck	102	Josh Gad	Frozen 	2013
Color	Lana Wachowski	138	Steve Bastoni	The Matrix Reloaded 	2003
Color	Alan Taylor	112	Chris Hemsworth	Thor: The Dark World 	2013
Color	George Miller	120	Tom Hardy	Mad Max: Fury Road 	2015
Color	Ron Howard	146	Tom Hanks	Angels & Demons 	2009
Color	Kenneth Branagh	115	Chris Hemsworth	Thor 	2011
Color	Byron Howard	96	Chloë Grace Moretz	Bolt 	2008
Color	Hoyt Yeatman	88	Kelli Garner	G-Force 	2009
Color	Jonathan Liebesman	99	Liam Neeson	Wrath of the Titans 	2012
Color	Tim Burton	113	Johnny Depp	Dark Shadows 	2012
Color	Christopher McQuarrie	131	Tom Cruise	Mission: Impossible - Rogue Nation 	2015
Color	Joe Johnston	119	Anthony Hopkins	The Wolfman 	2010
Color	David Yates	110	Christoph Waltz	The Legend of Tarzan 	2016
Color	Steve Hickner	91	Matthew Broderick	Bee Movie 	2007
Color	Jennifer Yuh Nelson	90	Angelina Jolie Pitt	Kung Fu Panda 2 	2011
Color	M. Night Shyamalan	103	Seychelle Gabriel	The Last Airbender 	2010
Color	J.J. Abrams	124	Philip Seymour Hoffman	Mission: Impossible III 	2006
Color	Roland Emmerich	131	Channing Tatum	White House Down 	2013
Color	Simon Wells	88	Elisabeth Harnois	Mars Needs Moms 	2011
Color	David Bowers	85	Hugh Jackman	Flushed Away 	2006
Color	Joe Wright	111	Hugh Jackman	Pan 	2015
Color	Rob Minkoff	92	Ty Burrell	Mr. Peabody & Sherman 	2014
Color	Wolfgang Petersen	196	Brad Pitt	Troy 	2004
Color	Eric Darnell	93	Jada Pinkett Smith	Madagascar 3: Europe's Most Wanted 	2012
 Black and White	Lee Tamahori	133	Toby Stephens	Die Another Day 	2002
Color	Paul Feig	116	Ed Begley Jr.	Ghostbusters 	2016
Color	Michael Bay	153	Bruce Willis	Armageddon 	1998
Color	Barry Sonnenfeld	88	Will Smith	Men in Black II 	2002
Color	Robert Zemeckis	115	Robin Wright	Beowulf 	2007
Color	Alessandro Carloni	95	J.K. Simmons	Kung Fu Panda 3 	2016
Color	Brad Bird	133	Tom Cruise	Mission: Impossible - Ghost Protocol 	2011
Color	Peter Ramsey	97	Hugh Jackman	Rise of the Guardians 	2012
Color	Dean Parisot	90	John Michael Higgins	Fun with Dick and Jane 	2005
Color	Edward Zwick	154	Tom Cruise	The Last Samurai 	2003
Color	Ridley Scott	150	Christian Bale	Exodus: Gods and Kings 	2014
Color	J.J. Abrams	127	Chris Hemsworth	Star Trek 	2009
Color	Sam Raimi	121	J.K. Simmons	Spider-Man 	2002
Color	Dean DeBlois	102	Gerard Butler	How to Train Your Dragon 2 	2014
Color	Alex Proyas	126	Gerard Butler	Gods of Egypt 	2016
Color	Rob Cohen	121	Sam Shepard	Stealth 	2005
Color	Zack Snyder	215	Matt Frewer	Watchmen 	2009
Color	Richard Donner	127	Jet Li	Lethal Weapon 4 	1998
Color	Ang Lee	138	Kevin Rankin	Hulk 	2003
Color	Jon M. Chu	122	Channing Tatum	G.I. Joe: Retaliation 	2013
Color	Breck Eisner	124	Matthew McConaughey	Sahara 	2005
Color	Hironobu Sakaguchi	106	Steve Buscemi	Final Fantasy: The Spirits Within 	2001
Color	Joe Johnston	124	Chris Evans	Captain America: The First Avenger 	2011
Color	Michael Apted	128	Colin Salmon	The World Is Not Enough 	1999
Color	Peter Weir	138	James D'Arcy	Master and Commander: The Far Side of the World 	2003
Color	Bill Condon	115	Robert Pattinson	The Twilight Saga: Breaking Dawn - Part 2 	2012
Color	George Miller	100	Robin Williams	Happy Feet 2 	2011
Color	Louis Leterrier	135	Ty Burrell	The Incredible Hulk 	2008
Color		60	Don Johnson	Miami Vice             	
Color	Steven Spielberg	117	Mark Rylance	The BFG 	2016
Color	Alejandro G. Iñárritu	156	Leonardo DiCaprio	The Revenant 	2015
Color	David Soren	96	Ryan Reynolds	Turbo 	2013
Color	Gore Verbinski	107	Johnny Depp	Rango 	2011
Color	Eric Darnell	92	Benedict Cumberbatch	Penguins of Madagascar 	2014
Color	Paul Greengrass	115	Matt Damon	The Bourne Ultimatum 	2007
Color	Mark Osborne	92	Angelina Jolie Pitt	Kung Fu Panda 	2008
Color	Peyton Reed	117	Judy Greer	Ant-Man 	2015
Color	Francis Lawrence	146	Jennifer Lawrence	The Hunger Games: Catching Fire 	2013
Color	Bill Condon	115	Robert Pattinson	The Twilight Saga: Breaking Dawn - Part 2 	2012
Color	Tim Johnson	94	Jim Parsons	Home 	2015
Color	Steven Spielberg	116	Tom Cruise	War of the Worlds 	2005
Color	Michael Bay	147	Will Smith	Bad Boys II 	2003
Color	Chris Miller	90	Salma Hayek	Puss in Boots 	2011
Color	Phillip Noyce	101	Angelina Jolie Pitt	Salt 	2010
Color	Darren Aronofsky	138	Anthony Hopkins	Noah 	2014
Color	Steven Spielberg	107	Toby Jones	The Adventures of Tintin 	2011
Color	Alfonso Cuarón	142	Daniel Radcliffe	Harry Potter and the Prisoner of Azkaban 	2004
Color	Baz Luhrmann	165	Essie Davis	Australia 	2008
Color	M. Night Shyamalan	100	Will Smith	After Earth 	2013
Color	Eric Leighton	82	Alfre Woodard	Dinosaur 	2000
Color	Matt Birch		Rupert Grint	Harry Potter and the Deathly Hallows: Part II 	2011
Color	Shawn Levy	98	Robin Williams	Night at the Museum: Secret of the Tomb 	2014
Color	Tom McGrath	95	J.K. Simmons	Megamind 	2010
Color	Chris Columbus	159	Daniel Radcliffe	Harry Potter and the Sorcerer's Stone 	2001
Color	Robert Schwentke	96	Ryan Reynolds	R.I.P.D. 	2013
Color	Hideaki Anno	120	Mark Chinnery	Godzilla Resurgence 	2016
Color	Gore Verbinski	143	Johnny Depp	Pirates of the Caribbean: The Curse of the Black Pearl 	2003
Color	Matt Birch		Rupert Grint	Harry Potter and the Deathly Hallows: Part I 	2010
Color	Francis Lawrence	123	Jennifer Lawrence	The Hunger Games: Mockingjay - Part 1 	2014
Color	Ron Howard	174	Tom Hanks	The Da Vinci Code 	2006
Color	Carlos Saldanha	101	Miguel Ferrer	Rio 2 	2014
Color	Bryan Singer	134	Hugh Jackman	X-Men 2 	2003
Color	Justin Lin	132	Paul Walker	Fast Five 	2011
Color	Guy Ritchie	129	Robert Downey Jr.	Sherlock Holmes: A Game of Shadows 	2011
Color	Louis Leterrier	106	Liam Neeson	Clash of the Titans 	2010
Color	Paul Verhoeven	113	Ronny Cox	Total Recall 	1990
Color	John McTiernan	102	Tony Curran	The 13th Warrior 	1999
Color	Tony Gilroy	135	Jeremy Renner	The Bourne Legacy 	2012
Color	Joel Schumacher	125	Michael Gough	Batman & Robin 	1997
Color	Ron Howard	110	Clint Howard	How the Grinch Stole Christmas 	2000
Color	Roland Emmerich	124	Jake Gyllenhaal	The Day After Tomorrow 	2004
Color	John Woo	123	Tom Cruise	Mission: Impossible II 	2000
Color	Wolfgang Petersen	130	Karen Allen	The Perfect Storm 	2000
Color	Tim Story	92	Chris Evans	Fantastic 4: Rise of the Silver Surfer 	2007
Color	Ang Lee	127	Suraj Sharma	Life of Pi 	2012
Color	Mark Steven Johnson	123	Nicolas Cage	Ghost Rider 	2007
Color	Paul Greengrass	123	Matt Damon	Jason Bourne 	2016
Color	McG	107	Demi Moore	Charlie's Angels: Full Throttle 	2003
Color	Ridley Scott	124	Michael Fassbender	Prometheus 	2012
Color	Rob Minkoff	77	Nathan Lane	Stuart Little 2 	2002
Color	Neill Blomkamp	109	Matt Damon	Elysium 	2013
Color	David Twohy	134	Vin Diesel	The Chronicles of Riddick 	2004
Color	José Padilha	117	Gary Oldman	RoboCop 	2014
Color	Lana Wachowski	135	Scott Porter	Speed Racer 	2008
Color	James L. Brooks	121	Shelley Conn	How Do You Know 	2010
Color	James Mangold	117	Tom Cruise	Knight and Day 	2010
Color	Joseph Kosinski	124	Morgan Freeman	Oblivion 	2013
Color	George Lucas	140	Natalie Portman	Star Wars: Episode III - Revenge of the Sith 	2005
Color	George Lucas	142	Natalie Portman	Star Wars: Episode II - Attack of the Clones 	2002
Color	Pete Docter	92	Steve Buscemi	"Monsters, Inc. "	2001
Color	James Mangold	138	Hugh Jackman	The Wolverine 	2013
Color	George Lucas	136	Natalie Portman	Star Wars: Episode I - The Phantom Menace 	1999
Color	Kirk De Micco	98	Ryan Reynolds	The Croods 	2013
Color	Frédéric Forestier	116	Alain Delon	Asterix at the Olympic Games 	2008
Color	John Woo	153	Nicolas Cage	Windtalkers 	2002
Color	Cedric Nicolas-Troyan	120	Chris Hemsworth	The Huntsman: Winter's War 	2016
Color	Jonathan Liebesman	101	Noel Fisher	Teenage Mutant Ninja Turtles 	2014
Color	Alfonso Cuarón	91	Phaldut Sharma	Gravity 	2013
Color	Roger Donaldson	108	Jamie Renée Smith	Dante's Peak 	1997
Color	Dave Green	112	Stephen Amell	Teenage Mutant Ninja Turtles: Out of the Shadows 	2016
Color	Josh Trank	100	Tim Blake Nelson	Fantastic Four 	2015
Color	Shawn Levy	108	Robin Williams	Night at the Museum 	2006
Color	Brad Peyton	114	Dwayne Johnson	San Andreas 	2015
Color	Roger Spottiswoode	119	Vincent Schiavelli	Tomorrow Never Dies 	1997
Color	Roland Emmerich	142	Heath Ledger	The Patriot 	2000
Color	Steven Soderbergh	125	Brad Pitt	Ocean's Twelve 	2004
Color	Doug Liman	126	Brad Pitt	Mr. & Mrs. Smith 	2005
Color	Robert Schwentke	119	Kate Winslet	Insurgent 	2015
 Black and White	Martin Scorsese	170	Leonardo DiCaprio	The Aviator 	2004
Color	Rob Letterman	85	James Corden	Gulliver's Travels 	2010
Color	Michel Gondry	119	Christoph Waltz	The Green Hornet 	2011
Color		60	George Peppard	The A-Team             	
Color	Noam Murro	102	Eva Green	300: Rise of an Empire 	2014
Color	Raja Gosnell	103	Mahadeo Shivraj	The Smurfs 	2011
Color	Will Finn	76	Steve Buscemi	Home on the Range 	2004
Color	Robert Schwentke	120	Naomi Watts	Allegiant 	2016
Color	Shawn Levy	127	Hugh Jackman	Real Steel 	2011
Color	Raja Gosnell	105	Jacob Tremblay	The Smurfs 2 	2013
Color	Jan de Bont	121	Jason Patric	Speed 2: Cruise Control 	1997
Color	Gavin Hood	114	Harrison Ford	Ender's Game 	2013
Color	Len Wiseman	129	Bruce Willis	Live Free or Die Hard 	2007
Color	Peter Jackson	171	Christopher Lee	The Lord of the Rings: The Fellowship of the Ring 	2001
Color	Frank Coraci	120	Jim Broadbent	Around the World in 80 Days 	2004
 Black and White	Michael Mann	165	Will Smith	Ali 	2001
Color	Bo Welch	82	Sean Hayes	The Cat in the Hat 	2003
Color	Alex Proyas	115	Will Smith	"I, Robot "	2004
Color	Ridley Scott	194	Liam Neeson	Kingdom of Heaven 	2005
Color	Rob Minkoff	84	Chazz Palminteri	Stuart Little 	1999
Color	Ron Clements	97	Oprah Winfrey	The Princess and the Frog 	2009
Color	Ridley Scott	151	Matt Damon	The Martian 	2015
	Christopher Barnard	22	Mathew Buck	"10,000 B.C.             "	
Color	Michael Bay	136	Scarlett Johansson	The Island 	2005
Color	Peter Chelsom	104	Del Zamora	Town & Country 	2001
Color	Dominic Sena	127	Nicolas Cage	Gone in Sixty Seconds 	2000
Color	Ridley Scott	171	Djimon Hounsou	Gladiator 	2000
Color	Steven Spielberg	145	Tom Cruise	Minority Report 	2002
Color	Chris Columbus	174	Daniel Radcliffe	Harry Potter and the Chamber of Secrets 	2002
 Black and White	Martin Campbell	144	Eva Green	Casino Royale 	2006
Color	Tim Burton	119	Cary-Hiroyuki Tagawa	Planet of the Apes 	2001
Color	James Cameron	153	Joe Morton	Terminator 2: Judgment Day 	1991
Color	Michael Mann	140	Johnny Depp	Public Enemies 	2009
Color	Ridley Scott	176	Denzel Washington	American Gangster 	2007
Color	James Cameron	141	Jamie Lee Curtis	True Lies 	1994
Color	Tony Scott	106	Denzel Washington	The Taking of Pelham 1 2 3 	2009
Color	Paul Weitz	98	Robert De Niro	Little Fockers 	2010
Color	Adam McKay	116	Dwayne Johnson	The Other Guys 	2010
Color	Chuck Russell	115	Vanessa Williams	Eraser 	1996
Color	Quentin Tarantino	165	Leonardo DiCaprio	Django Unchained 	2012
Color	Gary Trousdale	91	Demi Moore	The Hunchback of Notre Dame 	1996
Color	Mark Dindal	78	Eartha Kitt	The Emperor's New Groove 	2000
Color	Simon West	103	Jason Statham	The Expendables 2 	2012
Color	Jon Turteltaub	131	Nicolas Cage	National Treasure 	2004
 Black and White	Stefen Fangmeier	104	Djimon Hounsou	Eragon 	2006
Color	Spike Jonze	101	Catherine O'Hara	Where the Wild Things Are 	2009
Color	Joe Wright	111	Hugh Jackman	Pan 	2015
Color	Chris Wedge	102	Josh Hutcherson	Epic 	2013
Color	Florian Henckel von Donnersmarck	103	Johnny Depp	The Tourist 	2010
Color	Peter Hyams	121	CCH Pounder	End of Days 	1999
Color	Edward Zwick	143	Leonardo DiCaprio	Blood Diamond 	2006
Color	Martin Scorsese	240	Leonardo DiCaprio	The Wolf of Wall Street 	2013
Color	Joel Schumacher	121	Michael Gough	Batman Forever 	1995
Color	Paul Verhoeven	129	Jake Busey	Starship Troopers 	1997
Color	Tom Tykwer	172	Tom Hanks	Cloud Atlas 	2012
Color	Zack Snyder	101	Abbie Cornish	Legend of the Guardians: The Owls of Ga'Hoole 	2010
Color	Pitof	87	Frances Conroy	Catwoman 	2004
Color	Brett Ratner	101	Dwayne Johnson	Hercules 	2014
Color	Ron Clements	95	Joseph Gordon-Levitt	Treasure Planet 	2002
Color	Brad Silberling	102	Will Ferrell	Land of the Lost 	2009
Color	Patrick Hughes	131	Jason Statham	The Expendables 3 	2014
Color	Ericson Core	114	Ray Winstone	Point Break 	2015
Color	Lawrence Guterman	94	Jamie Kennedy	Son of the Mask 	2005
Color	Ron Howard	122	Chris Hemsworth	In the Heart of the Sea 	2015
Color	Ron Underwood	95	Rosario Dawson	The Adventures of Pluto Nash 	2002
Color	Paul Greengrass	115	Matt Damon	Green Zone 	2010
Color	Steve Martino	88	Francesca Capaldi	The Peanuts Movie 	2015
Color	David Mamet	110	Ben Gazzara	The Spanish Prisoner 	1997
Color	Stephen Sommers	130	Dwayne Johnson	The Mummy Returns 	2001
Color	Martin Scorsese	216	Leonardo DiCaprio	Gangs of New York 	2002
Color	Yimou Zhang	146	Christian Bale	The Flowers of War 	2011
Color	Ash Brannon	85	Jeff Bridges	Surf's Up 	2007
Color	Frank Oz	93	Jon Lovitz	The Stepford Wives 	2004
Color	Ridley Scott	152	Ioan Gruffudd	Black Hawk Down 	2001
Color	Jay Roach	85	Will Ferrell	The Campaign 	2012
Color	Luc Besson	126	Milla Jovovich	The Fifth Element 	1997
Color	Michael Patrick King	146	Chris Noth	Sex and the City 2 	2010
Color	Bibo Bergeron	89	Frank Welker	The Road to El Dorado 	2000
Color	Steve Martino	88	Peter Dinklage	Ice Age: Continental Drift 	2012
Color	Kenneth Branagh	105	Hayley Atwell	Cinderella 	2015
Color	Peter Jackson	135	Michael Imperioli	The Lovely Bones 	2009
Color	Andrew Stanton	100	Alexander Gould	Finding Nemo 	2003
Color	Peter Jackson	192	Orlando Bloom	The Lord of the Rings: The Return of the King 	2003
Color	Peter Jackson	172	Christopher Lee	The Lord of the Rings: The Two Towers 	2002
Color	Sergey Bodrov	102	Jeff Bridges	Seventh Son 	2014
Color	Simon West	100	Angelina Jolie Pitt	Lara Croft: Tomb Raider 	2001
Color	Wally Pfister	119	Johnny Depp	Transcendence 	2014
Color	Joe Johnston	92	Michael Jeter	Jurassic Park III 	2001
Color	Rupert Wyatt	105	James Franco	Rise of the Planet of the Apes 	2011
Color	Mark Waters	107	Martin Short	The Spiderwick Chronicles 	2008
Color	John Moore	101	Bruce Willis	A Good Day to Die Hard 	2013
Color	John Lee Hancock	137	Dennis Quaid	The Alamo 	2004
Color	Brad Bird	115	Holly Hunter	The Incredibles 	2004
Color	Renny Harlin	124	Christopher Masterson	Cutthroat Island 	1995
Color	Chris Columbus	118	Logan Lerman	Percy Jackson & the Olympians: The Lightning Thief 	2010
Color	Barry Sonnenfeld	98	Will Smith	Men in Black 	1997
Color	John Lasseter	82	Tom Hanks	Toy Story 2 	1999
Color	Tony Scott	98	Denzel Washington	Unstoppable 	2010
Color	Brett Ratner	90	Mei Melançon	Rush Hour 2 	2001
Color	Robert Zemeckis	130	Harrison Ford	What Lies Beneath 	2000
Color	Phil Lord	90	Will Forte	Cloudy with a Chance of Meatballs 	2009
Color	Carlos Saldanha	94	Denis Leary	Ice Age: Dawn of the Dinosaurs 	2009
Color	Ben Stiller	114	Adam Scott	The Secret Life of Walter Mitty 	2013
Color	McG	94	Bill Murray	Charlie's Angels 	2000
Color	Martin Scorsese	151	Leonardo DiCaprio	The Departed 	2006
Color	Tony Bancroft	88	Ming-Na Wen	Mulan 	1998
Color	Ben Stiller	121	Robert Downey Jr.	Tropic Thunder 	2008
Color	David Fincher	158	Robin Wright	The Girl with the Dragon Tattoo 	2011
Color	John McTiernan	128	Bruce Willis	Die Hard with a Vengeance 	1995
Color	Guy Ritchie	128	Robert Downey Jr.	Sherlock Holmes 	2009
Color	Timur Bekmambetov	141	Morgan Freeman	Ben-Hur 	2016
Color	Gary Trousdale	95	Leonard Nimoy	Atlantis: The Lost Empire 	2001
Color	Walt Becker	92	Bella Thorne	Alvin and the Chipmunks: The Road Chip 	2015
Color	Bryan Singer	121	Tom Cruise	Valkyrie 	2008
Color	Dennis Dugan	113	Adam Sandler	You Don't Mess with the Zohan 	2008
Color	Chris Columbus	106	Peter Dinklage	Pixels 	2015
Color	Steven Spielberg	146	Haley Joel Osment	A.I. Artificial Intelligence 	2001
Color	Rob Minkoff	88	Marsha Thomason	The Haunted Mansion 	2003
Color	Robert Zemeckis	150	Matthew McConaughey	Contact 	1997
Color	Paul Verhoeven	119	Greg Grunberg	Hollow Man 	2000
Color	Sydney Pollack	128	Curtiss Cook	The Interpreter 	2005
Color	Thor Freudenthal	106	Logan Lerman	Percy Jackson: Sea of Monsters 	2013
Color	Jan de Bont	117	Gerard Butler	Lara Croft Tomb Raider: The Cradle of Life 	2003
Color	Jon M. Chu	129	Daniel Radcliffe	Now You See Me 2 	2016
Color	Phillip Noyce	116	Alun Armstrong	The Saint 	1997
Color	Tony Scott	114	Brad Pitt	Spy Game 	2001
Color	Brian De Palma	114	Don Cheadle	Mission to Mars 	2000
Color	Carlos Saldanha	96	Anne Hathaway	Rio 	2011
Color	Chris Columbus	132	Robin Williams	Bicentennial Man 	1999
Color	Mick Jackson	104	Don Cheadle	Volcano 	1997
Color	Alan J. Pakula	111	Harrison Ford	The Devil's Own 	1997
